airlineCode,airlineIcons,airlineName,airportCode,airportName,codeShare,delayed,destinationAirportCode,destinationAirportName,destinationCountryCode,estimatedDate,estimatedTime,flight,flightNumber,lastUpdatedDateTime,operatedFlightNumber,operatingAirlineCode,operatingAirlineName,originAirportCode,originAirportName,originCountryCode,scheduledDate,scheduledTime,status,statusCode,temperatureC,temperatureF,weather,weatherIcon,airport,flight_type
TN,TN,Air Tahiti Nui,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:24:00,TN 2712,2712,2026-04-30T15:14:02.000Z,3366,OO,SkyWest,STS,Charles M. Schulz Sonoma County Airport,US,2026-04-30,08:46:00,Landed,LN,16.0,60.8,Cloudy,07,LAX,arrivals
OO,OO|KE|KL|LA|VS,SkyWest,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,OO 4106,4106,2026-04-30T15:19:13.000Z,4106,OO,SkyWest,RNO,Reno Tahoe International Airport,US,2026-04-30,08:45:00,Arrived,AR,16.0,60.8,Cloudy,07,LAX,arrivals
KE,KE,Korean Air,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,KE 7513,7513,2026-04-30T15:19:13.000Z,4106,OO,SkyWest,RNO,Reno Tahoe International Airport,US,2026-04-30,08:45:00,Arrived,AR,16.0,60.8,Cloudy,07,LAX,arrivals
KL,KL,KLM Royal Dutch Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,KL 5973,5973,2026-04-30T15:19:13.000Z,4106,OO,SkyWest,RNO,Reno Tahoe International Airport,US,2026-04-30,08:45:00,Arrived,AR,16.0,60.8,Cloudy,07,LAX,arrivals
LA,LA,LAN Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,LA 7005,7005,2026-04-30T15:19:13.000Z,4106,OO,SkyWest,RNO,Reno Tahoe International Airport,US,2026-04-30,08:45:00,Arrived,AR,16.0,60.8,Cloudy,07,LAX,arrivals
VS,VS,Virgin Atlantic Airways,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,VS 5450,5450,2026-04-30T15:19:13.000Z,4106,OO,SkyWest,RNO,Reno Tahoe International Airport,US,2026-04-30,08:45:00,Arrived,AR,16.0,60.8,Cloudy,07,LAX,arrivals
AA,AA|MH|TN,American Airlines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:29:00,AA 3317,3317,2026-04-30T12:30:25.000Z,3317,AA,American Airlines,DFW,Dallas Fort Worth International Airport,US,2026-04-30,08:29:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
WN,WN,Southwest Airlines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:29:00,WN 894,894,2026-04-30T15:21:22.000Z,894,WN,Southwest Airlines,PHX,Phoenix Sky Harbor International Airport,US,2026-04-30,08:35:00,Landed,LN,16.0,60.8,Cloudy,07,LAX,arrivals
MH,MH,Malaysia Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:29:00,MH 9537,9537,2026-04-30T12:30:25.000Z,3317,AA,American Airlines,DFW,Dallas Fort Worth International Airport,US,2026-04-30,08:29:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
TN,TN,Air Tahiti Nui,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:29:00,TN 1193,1193,2026-04-30T12:30:25.000Z,3317,AA,American Airlines,DFW,Dallas Fort Worth International Airport,US,2026-04-30,08:29:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
DL,DL|AM|KE|LA|MU|VS|WS,Delta Air Lines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,DL 306,306,2026-04-30T12:36:27.000Z,306,DL,Delta Air Lines,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:30:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
UA,UA|AV|CM|NZ|VA,United Airlines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,UA 1260,1260,2026-04-30T15:23:09.000Z,1260,UA,United Airlines,SFO,San Francisco International Airport,US,2026-04-30,08:57:00,Landed,LN,16.0,60.8,Cloudy,07,LAX,arrivals
AM,AM,AeroMéxico,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,AM 3309,3309,2026-04-30T12:36:27.000Z,306,DL,Delta Air Lines,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:30:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
KE,KE,Korean Air,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,KE 7390,7390,2026-04-30T12:36:27.000Z,306,DL,Delta Air Lines,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:30:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
LA,LA,LAN Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,LA 6649,6649,2026-04-30T12:36:27.000Z,306,DL,Delta Air Lines,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:30:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
MU,MU,China Eastern Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,MU 8824,8824,2026-04-30T12:36:27.000Z,306,DL,Delta Air Lines,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:30:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
VS,VS,Virgin Atlantic Airways,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,VS 2065,2065,2026-04-30T12:36:27.000Z,306,DL,Delta Air Lines,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:30:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
WS,WS,WestJet,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,WS 7721,7721,2026-04-30T12:36:27.000Z,306,DL,Delta Air Lines,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:30:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
AV,AV,Avianca S.A. - Aerovias Nacionales de Colombia,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,AV 2011,2011,2026-04-30T15:23:09.000Z,1260,UA,United Airlines,SFO,San Francisco International Airport,US,2026-04-30,08:57:00,Landed,LN,16.0,60.8,Cloudy,07,LAX,arrivals
CM,CM,Copa Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,CM 1069,1069,2026-04-30T15:23:09.000Z,1260,UA,United Airlines,SFO,San Francisco International Airport,US,2026-04-30,08:57:00,Landed,LN,16.0,60.8,Cloudy,07,LAX,arrivals
NZ,NZ,Air New Zealand,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,NZ 9256,9256,2026-04-30T15:23:09.000Z,1260,UA,United Airlines,SFO,San Francisco International Airport,US,2026-04-30,08:57:00,Landed,LN,16.0,60.8,Cloudy,07,LAX,arrivals
VA,VA,Virgin Australia,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,VA 8560,8560,2026-04-30T15:23:09.000Z,1260,UA,United Airlines,SFO,San Francisco International Airport,US,2026-04-30,08:57:00,Landed,LN,16.0,60.8,Cloudy,07,LAX,arrivals
DL,DL|KE|LA|MU|VS,Delta Air Lines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:31:00,DL 484,484,2026-04-30T15:25:14.000Z,484,DL,Delta Air Lines,MCO,Orlando International Airport,US,2026-04-30,08:43:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
KE,KE,Korean Air,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:31:00,KE 7540,7540,2026-04-30T15:25:14.000Z,484,DL,Delta Air Lines,MCO,Orlando International Airport,US,2026-04-30,08:43:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
LA,LA,LAN Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:31:00,LA 8629,8629,2026-04-30T15:25:14.000Z,484,DL,Delta Air Lines,MCO,Orlando International Airport,US,2026-04-30,08:43:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
MU,MU,China Eastern Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:31:00,MU 8793,8793,2026-04-30T15:25:14.000Z,484,DL,Delta Air Lines,MCO,Orlando International Airport,US,2026-04-30,08:43:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
VS,VS,Virgin Atlantic Airways,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:31:00,VS 5383,5383,2026-04-30T15:25:14.000Z,484,DL,Delta Air Lines,MCO,Orlando International Airport,US,2026-04-30,08:43:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
AA,AA|BA|CX|EI|JL|PD|PR|QF|TN,American Airlines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,AA 2690,2690,2026-04-30T14:27:30.000Z,2690,AA,American Airlines,LAS,Harry Reid International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
BA,BA,British Airways,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,BA 4449,4449,2026-04-30T14:27:30.000Z,2690,AA,American Airlines,LAS,Harry Reid International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
CX,CX,Cathay Pacific,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,CX 7562,7562,2026-04-30T14:27:30.000Z,2690,AA,American Airlines,LAS,Harry Reid International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
EI,EI,Aer Lingus,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,EI 7301,7301,2026-04-30T14:27:30.000Z,2690,AA,American Airlines,LAS,Harry Reid International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
JL,JL,Japan Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,JL 7581,7581,2026-04-30T14:27:30.000Z,2690,AA,American Airlines,LAS,Harry Reid International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
PD,PD,Porter Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,PD 6275,6275,2026-04-30T14:27:30.000Z,2690,AA,American Airlines,LAS,Harry Reid International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
PR,PR,Philippine Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,PR 3900,3900,2026-04-30T14:27:30.000Z,2690,AA,American Airlines,LAS,Harry Reid International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
QF,QF,Qantas,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,QF 4515,4515,2026-04-30T14:27:30.000Z,2690,AA,American Airlines,LAS,Harry Reid International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
TN,TN,Air Tahiti Nui,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,TN 1163,1163,2026-04-30T14:27:30.000Z,2690,AA,American Airlines,LAS,Harry Reid International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
OO,OO|AS|CX|JL|MH|QF|TN,SkyWest,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:37:00,OO 6216,6216,2026-04-30T11:38:55.000Z,6216,OO,SkyWest,STL,St. Louis Lambert International Airport,US,2026-04-30,08:37:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
WN,WN,Southwest Airlines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:37:00,WN 2896,2896,2026-04-30T14:43:57.000Z,2896,WN,Southwest Airlines,MDW,Chicago Midway International Airport,US,2026-04-30,08:40:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
AS,AS,Alaska Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:37:00,AS 4581,4581,2026-04-30T11:38:55.000Z,6216,OO,SkyWest,STL,St. Louis Lambert International Airport,US,2026-04-30,08:37:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
CX,CX,Cathay Pacific,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:37:00,CX 7740,7740,2026-04-30T11:38:55.000Z,6216,OO,SkyWest,STL,St. Louis Lambert International Airport,US,2026-04-30,08:37:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
JL,JL,Japan Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:37:00,JL 7537,7537,2026-04-30T11:38:55.000Z,6216,OO,SkyWest,STL,St. Louis Lambert International Airport,US,2026-04-30,08:37:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
MH,MH,Malaysia Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:37:00,MH 9491,9491,2026-04-30T11:38:55.000Z,6216,OO,SkyWest,STL,St. Louis Lambert International Airport,US,2026-04-30,08:37:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
QF,QF,Qantas,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:37:00,QF 4529,4529,2026-04-30T11:38:55.000Z,6216,OO,SkyWest,STL,St. Louis Lambert International Airport,US,2026-04-30,08:37:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
TN,TN,Air Tahiti Nui,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:37:00,TN 1253,1253,2026-04-30T11:38:55.000Z,6216,OO,SkyWest,STL,St. Louis Lambert International Airport,US,2026-04-30,08:37:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
DL,DL|AF|AM|KE|MU|VS|WS,Delta Air Lines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,DL 2337,2337,2026-04-30T15:15:40.000Z,2337,DL,Delta Air Lines,MCI,Kansas City International Airport,US,2026-04-30,08:50:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
UA,UA|AC|AV|CM|NZ|OZ,United Airlines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,UA 1527,1527,2026-04-30T14:15:04.000Z,1527,UA,United Airlines,SLC,Salt Lake City International Airport,US,2026-04-30,09:09:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
AF,AF,Air France,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,AF 2159,2159,2026-04-30T15:15:40.000Z,2337,DL,Delta Air Lines,MCI,Kansas City International Airport,US,2026-04-30,08:50:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
AM,AM,AeroMéxico,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,AM 4906,4906,2026-04-30T15:15:40.000Z,2337,DL,Delta Air Lines,MCI,Kansas City International Airport,US,2026-04-30,08:50:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
KE,KE,Korean Air,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,KE 7534,7534,2026-04-30T15:15:40.000Z,2337,DL,Delta Air Lines,MCI,Kansas City International Airport,US,2026-04-30,08:50:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
MU,MU,China Eastern Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,MU 8792,8792,2026-04-30T15:15:40.000Z,2337,DL,Delta Air Lines,MCI,Kansas City International Airport,US,2026-04-30,08:50:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
VS,VS,Virgin Atlantic Airways,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,VS 2094,2094,2026-04-30T15:15:40.000Z,2337,DL,Delta Air Lines,MCI,Kansas City International Airport,US,2026-04-30,08:50:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
WS,WS,WestJet,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,WS 5431,5431,2026-04-30T15:15:40.000Z,2337,DL,Delta Air Lines,MCI,Kansas City International Airport,US,2026-04-30,08:50:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
AC,AC,Air Canada,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,AC 4300,4300,2026-04-30T14:15:04.000Z,1527,UA,United Airlines,SLC,Salt Lake City International Airport,US,2026-04-30,09:09:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
AV,AV,Avianca S.A. - Aerovias Nacionales de Colombia,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,AV 2379,2379,2026-04-30T14:15:04.000Z,1527,UA,United Airlines,SLC,Salt Lake City International Airport,US,2026-04-30,09:09:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
CM,CM,Copa Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,CM 1484,1484,2026-04-30T14:15:04.000Z,1527,UA,United Airlines,SLC,Salt Lake City International Airport,US,2026-04-30,09:09:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
NZ,NZ,Air New Zealand,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,NZ 9043,9043,2026-04-30T14:15:04.000Z,1527,UA,United Airlines,SLC,Salt Lake City International Airport,US,2026-04-30,09:09:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
OZ,OZ,Asiana Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:38:00,OZ 6517,6517,2026-04-30T14:15:04.000Z,1527,UA,United Airlines,SLC,Salt Lake City International Airport,US,2026-04-30,09:09:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
OO,OO|AS|JL|MH|TN,SkyWest,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:39:00,OO 6210,6210,2026-04-30T12:51:40.000Z,6210,OO,SkyWest,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:39:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
AS,AS,Alaska Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:39:00,AS 4240,4240,2026-04-30T12:51:40.000Z,6210,OO,SkyWest,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:39:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
JL,JL,Japan Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:39:00,JL 7501,7501,2026-04-30T12:51:40.000Z,6210,OO,SkyWest,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:39:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
MH,MH,Malaysia Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:39:00,MH 9417,9417,2026-04-30T12:51:40.000Z,6210,OO,SkyWest,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:39:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
TN,TN,Air Tahiti Nui,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:39:00,TN 1187,1187,2026-04-30T12:51:40.000Z,6210,OO,SkyWest,AUS,Austin Bergstrom International Airport,US,2026-04-30,08:39:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,arrivals
OO,OO|AA,SkyWest,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,OO 3381,3381,2026-04-30T15:17:53.000Z,3381,OO,SkyWest,MFR,Rogue Valley International-Medford Airport,US,2026-04-30,09:05:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
AA,AA,American Airlines,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,AA 7410,7410,2026-04-30T15:17:53.000Z,3381,OO,SkyWest,MFR,Rogue Valley International-Medford Airport,US,2026-04-30,09:05:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
DL,DL|AM|KE|LA|VS,Delta Air Lines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:44:00,DL 1087,1087,2026-04-30T15:23:14.000Z,1087,DL,Delta Air Lines,SLC,Salt Lake City International Airport,US,2026-04-30,08:48:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
PR,PR,Philippine Airlines,LAX,Los Angeles International Airport,False,False,LAX,Los Angeles International Airport,US,2026-04-30,08:44:00,PR 112,112,2026-04-30T11:05:41.000Z,112,PR,Philippine Airlines,MNL,Ninoy Aquino International Airport,PH,2026-04-30,09:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,arrivals
AM,AM,AeroMéxico,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:44:00,AM 4386,4386,2026-04-30T15:23:14.000Z,1087,DL,Delta Air Lines,SLC,Salt Lake City International Airport,US,2026-04-30,08:48:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
KE,KE,Korean Air,LAX,Los Angeles International Airport,True,False,LAX,Los Angeles International Airport,US,2026-04-30,08:44:00,KE 7272,7272,2026-04-30T15:23:14.000Z,1087,DL,Delta Air Lines,SLC,Salt Lake City International Airport,US,2026-04-30,08:48:00,On Ground,OG,16.0,60.8,Cloudy,07,LAX,arrivals
